Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Memory Size,Memory Type,CAS Latency,Speed
RAM,F4-2400C15D-16GRR,G.SKILL,Ripjaws 4,76,70.7,6891,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2400-C15-2x8GB/Rating/3551,2x8GB,DDR4,C15,2400
RAM,CMK8GX4M2A2400C14,Corsair,Vengeance LPX,77,70.7,16994,https://ram.userbenchmark.com/SpeedTest/89740/Corsair-Vengeance-LPX-CMK8GX4M2A2400C14-2x4GB,2x4GB,DDR4,C14,2400
RAM,F4-2133C15D-32GVR,G.SKILL,Ripjaws V,78,70.5,2613,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x16GB/Rating/3633,2x16GB,DDR4,C15,2133
RAM,F4-2400C15D-16GVR,G.SKILL,Ripjaws V,79,70.4,101586,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549,2x8GB,DDR4,C15,2400
RAM,F4-2400C15D-16GVB,G.SKILL,Ripjaws V,79,70.4,101586,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549,2x8GB,DDR4,C15,2400
RAM,F4-2400C15D-16GVK,G.SKILL,Ripjaws V,79,70.4,101586,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549,2x8GB,DDR4,C15,2400
RAM,F4-2400C15D-16GVS,G.SKILL,Ripjaws V,79,70.4,101586,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549,2x8GB,DDR4,C15,2400
RAM,F4-2400C15D-16GVG,G.SKILL,Ripjaws V,79,70.4,101586,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549,2x8GB,DDR4,C15,2400
RAM,CMK16GX4M2A2133C13,Corsair,Vengeance LPX,80,69.6,51476,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2133-C13-2x8GB/Rating/3543,2x8GB,DDR4,C13,2133
RAM,CMK16GX4M2A2133C13R,Corsair,Vengeance LPX,80,69.6,51476,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2133-C13-2x8GB/Rating/3543,2x8GB,DDR4,C13,2133
RAM,HX421C14FBK2/8,HyperX,Fury,81,68.9,42535,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-2x4GB/Rating/3554,2x4GB,DDR4,C14,2133
RAM,F4-2133C15D-8GVR,G.SKILL,Ripjaws V,82,68.7,7323,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x4GB/Rating/3560,2x4GB,DDR4,C15,2133
RAM,F4-2133C15D-16GVB,G.SKILL,Ripjaws V,83,68.2,16086,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x8GB/Rating/3632,2x8GB,DDR4,C15,2133
RAM,BLS2K4G4D240FSA,Crucial,Ballistix Sport,84,68,835,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-2x4GB/Rating/3601,2x4GB,DDR4,C16,2400
RAM,F3-2400C10D-16GTX,G.SKILL,TridentX,85,67.1,22800,https://ram.userbenchmark.com/SpeedTest/89322/GSKILL-F3-2400C10-8GTX-2x8GB,2x8GB,DDR3,C10,2400
RAM,HX324C11SRK2/16,HyperX,Savage,86,62.9,21963,https://ram.userbenchmark.com/SpeedTest/43621/Kingston-KHX2400C11D38GX-2x8GB,2x8GB,DDR3,C11,2400
RAM,CMY16GX3M2A2400C11,Corsair,Vengeance Pro,87,58.4,39287,https://ram.userbenchmark.com/SpeedTest/89568/Corsair-Vengeance-Pro-CMY16GX3M2A2400C11-2x8GB,2x8GB,DDR3,C11,2400
RAM,HX318C10FK2/16,HyperX,Fury,88,58.4,114582,https://ram.userbenchmark.com/SpeedTest/42962/Kingston-KHX1866C10D38G-2x8GB,2x8GB,DDR3,C10,1866
RAM,HX318C10FBK2/16,HyperX,Fury,88,58.4,114582,https://ram.userbenchmark.com/SpeedTest/42962/Kingston-KHX1866C10D38G-2x8GB,2x8GB,DDR3,C10,1866
RAM,HX318C10FRK2/16,HyperX,Fury,88,58.4,114582,https://ram.userbenchmark.com/SpeedTest/42962/Kingston-KHX1866C10D38G-2x8GB,2x8GB,DDR3,C10,1866
RAM,HX318C10FWK2/16,HyperX,Fury,88,58.4,114582,https://ram.userbenchmark.com/SpeedTest/42962/Kingston-KHX1866C10D38G-2x8GB,2x8GB,DDR3,C10,1866
RAM,BLS2KIT4G3D1609DS1S00,Crucial,Ballistix Sport,89,55.4,40924,https://ram.userbenchmark.com/SpeedTest/50785/Crucial-BLS4G3D1609DS1S00-2x4GB,2x4GB,DDR3,C9,1600
RAM,BLS2CP4G3D1609DS1S00CEU,Crucial,Ballistix Sport,89,55.4,40924,https://ram.userbenchmark.com/SpeedTest/50785/Crucial-BLS4G3D1609DS1S00-2x4GB,2x4GB,DDR3,C9,1600
RAM,HX316C10FK2/16,HyperX,Fury,90,54.8,77668,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB,2x8GB,DDR3,C10,1600
RAM,HX316C10FBK2/16,HyperX,Fury,90,54.8,77668,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB,2x8GB,DDR3,C10,1600
RAM,HX316C10FRK2/16,HyperX,Fury,90,54.8,77668,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB,2x8GB,DDR3,C10,1600
RAM,HX316C10FWK2/16,HyperX,Fury,90,54.8,77668,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB,2x8GB,DDR3,C10,1600
RAM,F3-12800CL9D-8GBXL,G.SKILL,RipjawsX,91,52.3,46971,https://ram.userbenchmark.com/SpeedTest/89321/GSKILL-F3-12800CL9-4GBXL-2x4GB,2x4GB,DDR3,C9,1600
RAM,HX316C10FK2/8,HyperX,Fury,92,51.7,26005,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB,2x4GB,DDR3,C10,1600
RAM,HX316C10FBK2/8,HyperX,Fury,92,51.7,26005,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB,2x4GB,DDR3,C10,1600
RAM,HX316C10FRK2/8,HyperX,Fury,92,51.7,26005,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB,2x4GB,DDR3,C10,1600
RAM,HX316C10FWK2/8,HyperX,Fury,92,51.7,26005,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB,2x4GB,DDR3,C10,1600
RAM,F3-14900CL10D-16GBXL,G.SKILL,RipjawsX,93,51,9278,https://ram.userbenchmark.com/SpeedTest/89210/GSKILL-F3-14900CL10-8GBXL-2x8GB,2x8GB,DDR3,C10,1866
RAM,F3-12800CL10Q-32GBXL,G.SKILL,RipjawsX,94,50.9,3794,https://ram.userbenchmark.com/SpeedTest/90320/GSKILL-F3-12800CL10-8GBXL-4x8GB,4x8GB,DDR3,C10,1600
RAM,HX318C10FK2/8,HyperX,Fury,95,50.6,38264,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588,2x4GB,DDR3,C10,1866
RAM,HX318C10FBK2/8,HyperX,Fury,95,50.6,38264,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588,2x4GB,DDR3,C10,1866
RAM,HX318C10FRK2/8,HyperX,Fury,95,50.6,38264,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588,2x4GB,DDR3,C10,1866
RAM,HX318C10FWK2/8,HyperX,Fury,95,50.6,38264,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588,2x4GB,DDR3,C10,1866
RAM,HX316C9SRK2/8,HyperX,Savage,96,50.4,74745,https://ram.userbenchmark.com/SpeedTest/43139/Kingston-KHX1600C9D34GX-2x4GB,2x4GB,DDR3,C9,1600
RAM,F3-12800CL10D-16GBXL,G.SKILL,RipjawsX,97,49.7,27031,https://ram.userbenchmark.com/SpeedTest/89329/GSKILL-F3-12800CL10-8GBXL-2x8GB,2x8GB,DDR3,C10,1600
RAM,CMX8GX3M2A1600C9,Corsair,XMS3,98,49.2,10669,https://ram.userbenchmark.com/SpeedTest/89663/Corsair-XMS3-CMX8GX3M2A1600C9-2x4GB,2x4GB,DDR3,C9,1600
RAM,CMZ8GX3M2A1600C9,Corsair,Vengeance,99,48.7,70716,https://ram.userbenchmark.com/SpeedTest/89203/Corsair-Vengeance-CMZ8GX3M2A1600C9-2x4GB,2x4GB,DDR3,C9,1600
RAM,BLS8G4D26BFSB,Crucial,Ballistix Sport LT,100,46.7,1414,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB,1x8GB,DDR4,C16,2666
RAM,BLS8G4D26BFSC,Crucial,Ballistix Sport LT,100,46.7,1414,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB,1x8GB,DDR4,C16,2666
RAM,BLS8G4D26BFSE,Crucial,Ballistix Sport LT,100,46.7,1414,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB,1x8GB,DDR4,C16,2666
RAM,BLS8G4D240FSB,Crucial,Ballistix Sport LT,101,43.1,19220,https://ram.userbenchmark.com/SpeedTest/142440/Crucial-BLS8G4D240FSB16FBD-1x8GB,1x8GB,DDR4,C16,2400
RAM,CT8G4DFD824A,Crucial,UDIMM,102,41.5,3948,https://ram.userbenchmark.com/SpeedTest/358525/Crucial-CT8G4DFD824AC16FHP-1x8GB,1x8GB,DDR4,C16,2400
RAM,CMK8GX4M1A2400C16,Corsair,Vengeance LPX,103,41.4,49114,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C16-1x8GB/Rating/3610,1x8GB,DDR4,C16,2400
RAM,CMK8GX4M1A2400C16R,Corsair,Vengeance LPX,103,41.4,49114,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C16-1x8GB/Rating/3610,1x8GB,DDR4,C16,2400
RAM,CT16G4DFD824A,Crucial,UDIMM,104,41.3,2506,https://ram.userbenchmark.com/SpeedTest/228105/Crucial-CT16G4DFD824AC16FAD-1x16GB,1x16GB,DDR4,C16,2400
RAM,HX421C14FB/8,HyperX,Fury,105,40.3,15513,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-1x8GB/Rating/3555,1x8GB,DDR4,C14,2133
RAM,CMK8GX4M1A2400C14,Corsair,Vengeance LPX,106,38.9,19372,https://ram.userbenchmark.com/SpeedTest/89446/Corsair-Vengeance-LPX-CMK8GX4M1A2400C14-1x8GB,1x8GB,DDR4,C14,2400
RAM,CMK4GX4M1A2400C14,Corsair,Vengeance LPX,107,38.7,864,https://ram.userbenchmark.com/SpeedTest/97522/Corsair-Vengeance-LPX-CMK4GX4M1A2400C14-1x4GB,1x4GB,DDR4,C14,2400
RAM,CT4G4DFS824A,Crucial,UDIMM,108,38.4,4907,https://ram.userbenchmark.com/SpeedTest/372497/Crucial-CT4G4DFS824AC8FHP-1x4GB,1x4GB,DDR4,C17,2400
RAM,F4-2133C15S-4GNT,G.SKILL,Value,109,37.6,564,https://ram.userbenchmark.com/SpeedTest/109263/GSKILL-F4-2133C15-4GNT-1x4GB,1x4GB,DDR4,C15,2133
RAM,CMV4GX4M1A2133C15,Corsair,ValueSelect,110,37.2,1232,https://ram.userbenchmark.com/SpeedTest/96727/Corsair-ValueSelect-CMV4GX4M1A2133C15-1x4GB,1x4GB,DDR4,C15,2133
RAM,CMZ8GX3M1A1600C10,Corsair,Vengeance,111,30.9,11132,https://ram.userbenchmark.com/SpeedTest/89201/Corsair-Vengeance-CMZ8GX3M1A1600C10-1x8GB,1x8GB,DDR3,C10,1600
RAM,F3-12800CL9S-4GBRL,G.SKILL,Ripjaws,112,29.1,890,https://ram.userbenchmark.com/SpeedTest/90810/GSKILL-F3-12800CL9-4GBRL-1x4GB,1x4GB,DDR3,C9,1600
RAM,F3-12800CL10S-8GBXL,G.SKILL,RipjawsX,113,27.8,4376,https://ram.userbenchmark.com/SpeedTest/89412/GSKILL-F3-12800CL10-8GBXL-1x8GB,1x8GB,DDR3,C10,1600
