Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i7 960,391,68.5,16357,https://cpu.userbenchmark.com/SpeedTest/778/IntelR-CoreTM-i7-CPU---------960----320GHz
CPU,BX80623I52400,Intel,Core i5-2400,392,68.4,164950,https://cpu.userbenchmark.com/Intel-Core-i5-2400/Rating/803
CPU,BX80662I36320,Intel,Core i3-6320,393,68.4,1673,https://cpu.userbenchmark.com/Intel-Core-i3-6320/Rating/3535
CPU,,Intel,Core i5-4430,394,68.4,24309,https://cpu.userbenchmark.com/SpeedTest/1920/IntelR-CoreTM-i5-4430-CPU---300GHz
CPU,BX80684G5600,Intel,Pentium Gold G5600,395,68.4,715,https://cpu.userbenchmark.com/SpeedTest/469126/IntelR-PentiumR-Gold-G5600-CPU---390GHz
CPU,BX80621E52670,Intel,Xeon E5-2670,396,68.3,4543,https://cpu.userbenchmark.com/SpeedTest/18501/IntelR-XeonR-CPU-E5-2670-0---260GHz
CPU,,Intel,Core i7 870,397,68.3,32106,https://cpu.userbenchmark.com/SpeedTest/961/IntelR-CoreTM-i7-CPU---------870----293GHz
CPU,BX80662I56400,Intel,Core i5-6400,398,68.2,180044,https://cpu.userbenchmark.com/Intel-Core-i5-6400/Rating/3512
CPU,,Intel,Core i5-4460S,399,68.2,10819,https://cpu.userbenchmark.com/SpeedTest/14679/IntelR-CoreTM-i5-4460S-CPU---290GHz
CPU,,Intel,Core i5-3340,400,68.1,8666,https://cpu.userbenchmark.com/SpeedTest/2710/IntelR-CoreTM-i5-3340-CPU---310GHz
CPU,BX80647I74900MQ,Intel,Core i7-4900MQ,401,68.1,5422,https://cpu.userbenchmark.com/Intel-Core-i7-4900MQ/Rating/1994
CPU,BX80684G5500,Intel,Pentium Gold G5500,402,67.8,930,https://cpu.userbenchmark.com/SpeedTest/484140/IntelR-PentiumR-Gold-G5500-CPU---380GHz
CPU,,Intel,Core i5-2300,403,67.7,18996,https://cpu.userbenchmark.com/SpeedTest/291/IntelR-CoreTM-i5-2300-CPU---280GHz
CPU,,Intel,Core i7-4960HQ,404,67.6,308,https://cpu.userbenchmark.com/SpeedTest/9629/IntelR-CoreTM-i7-4960HQ-CPU---260GHz
CPU,BX80601950,Intel,Core i7-950,405,67.5,34259,https://cpu.userbenchmark.com/Intel-Core-i7-950/Rating/617
CPU,,Intel,Core i7-3840QM,406,67.5,3751,https://cpu.userbenchmark.com/SpeedTest/2451/IntelR-CoreTM-i7-3840QM-CPU---280GHz
CPU,100-000000085,AMD,Ryzen 3 4300U,407,67.5,4207,https://cpu.userbenchmark.com/SpeedTest/1135301/AMD-Ryzen-3-4300U-with-Radeon-Graphics
CPU,,Intel,Core i7-2600S,408,67.5,2885,https://cpu.userbenchmark.com/SpeedTest/6489/IntelR-CoreTM-i7-2600S-CPU---280GHz
CPU,,Intel,Core i7-4810MQ,409,67.4,26497,https://cpu.userbenchmark.com/SpeedTest/7168/IntelR-CoreTM-i7-4810MQ-CPU---280GHz
CPU,,Intel,Core i5-7300HQ,410,67.3,160178,https://cpu.userbenchmark.com/SpeedTest/223877/IntelR-CoreTM-i5-7300HQ-CPU---250GHz
CPU,,Intel,Core i7-10710U,411,67.3,6351,https://cpu.userbenchmark.com/SpeedTest/900004/IntelR-CoreTM-i7-10710U-CPU---110GHz
CPU,,Intel,Xeon X5560,412,67.2,513,https://cpu.userbenchmark.com/SpeedTest/16614/IntelR-XeonR-CPU-----------X5560----280GHz
CPU,,Intel,Core i5-2310,413,67.1,13941,https://cpu.userbenchmark.com/SpeedTest/2055/IntelR-CoreTM-i5-2310-CPU---290GHz
CPU,,Intel,Xeon X3460,414,67.1,777,https://cpu.userbenchmark.com/SpeedTest/3739/IntelR-XeonR-CPU-----------X3460----280GHz
CPU,,Intel,Xeon L5639,415,67,87,https://cpu.userbenchmark.com/SpeedTest/5958/IntelR-XeonR-CPU-----------L5639----213GHz
CPU,,Intel,Xeon W3565,416,67,7177,https://cpu.userbenchmark.com/SpeedTest/6324/IntelR-XeonR-CPU-----------W3565----320GHz
CPU,,Intel,Core i5-3330,417,66.9,45370,https://cpu.userbenchmark.com/SpeedTest/10/IntelR-CoreTM-i5-3330-CPU---300GHz
CPU,,Intel,Core i7-4700HQ,418,66.9,43383,https://cpu.userbenchmark.com/Intel-Core-i7-4700HQ/Rating/2728
CPU,YD130XBBAEBOX,AMD,Ryzen 3 1300X,419,66.9,40473,https://cpu.userbenchmark.com/AMD-Ryzen-3-1300X/Rating/3930
CPU,YD2200C5FBBOX,AMD,Ryzen 3 2200G,420,66.9,171905,https://cpu.userbenchmark.com/SpeedTest/441832/AMD-Ryzen-3-2200G-with-Radeon-Vega-Graphics
CPU,,Intel,Core i7-4720HQ,421,66.8,78220,https://cpu.userbenchmark.com/SpeedTest/20045/IntelR-CoreTM-i7-4720HQ-CPU---260GHz
CPU,,Intel,Xeon E5-2670 v2,422,66.7,509,https://cpu.userbenchmark.com/SpeedTest/18414/IntelR-XeonR-CPU-E5-2670-v2---250GHz
CPU,,Intel,Core i7-6820HQ,423,66.7,31428,https://cpu.userbenchmark.com/SpeedTest/43500/IntelR-CoreTM-i7-6820HQ-CPU---270GHz
CPU,FD9370FHHKWOF,AMD,FX-9370,424,66.6,9081,https://cpu.userbenchmark.com/AMD-FX-9370/Rating/2005
CPU,,Intel,Core i7-3820QM,425,66.4,3116,https://cpu.userbenchmark.com/SpeedTest/4339/IntelR-CoreTM-i7-3820QM-CPU---270GHz
CPU,,Intel,Core i7 860,426,66.4,46245,https://cpu.userbenchmark.com/SpeedTest/841/IntelR-CoreTM-i7-CPU---------860----280GHz
CPU,,Intel,Core i7-4710HQ,427,66.3,71160,https://cpu.userbenchmark.com/SpeedTest/11499/IntelR-CoreTM-i7-4710HQ-CPU---250GHz
CPU,FD8370FRHKBOX,AMD,FX-8370,428,66.3,30592,https://cpu.userbenchmark.com/AMD-FX-8370/Rating/2983
