Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,SSDPEKNU010TZX1,Intel,670p NVMe PCIe M.2 1TB,30,280,8682,https://ssd.userbenchmark.com/SpeedTest/1493432/INTEL-SSDPEKNU010TZ
SSD,ASX8200PNP-1TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 1TB,31,279,87520,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP
SSD,MZ-V8V1T0B,Samsung,980 NVMe PCIe M.2 1TB,32,278,76638,https://ssd.userbenchmark.com/SpeedTest/1488476/Samsung-SSD-980-1TB
SSD,MZ-V6P1T0BW,Samsung,960 Pro NVMe PCIe M.2 1TB,33,275,18034,https://ssd.userbenchmark.com/SpeedTest/200815/Samsung-SSD-960-PRO-1TB
SSD,SSDPEK1W120GA01,Intel,800p NVMe PCIe M.2 118GB,34,274,122,https://ssd.userbenchmark.com/SpeedTest/489136/NVMe-INTEL-SSDPEK1W12
SSD,SDSSDXPM2-1T00-G25,SanDisk,Extreme Pro NVMe PCIe M.2 1TB (2018),35,273,3009,https://ssd.userbenchmark.com/SpeedTest/493695/SanDisk-Extreme-Pro-1TB
SSD,MZ-V6P2T0BW,Samsung,960 Pro NVMe PCIe M.2 2TB,36,272,3565,https://ssd.userbenchmark.com/SpeedTest/215493/Samsung-SSD-960-PRO-2TB
SSD,2YY47AA#ABC,HP,EX920 NVMe PCIe M.2 1TB,37,272,15374,https://ssd.userbenchmark.com/SpeedTest/488611/HP-SSD-EX920-1TB
SSD,MZ-V7E500BW,Samsung,970 Evo NVMe PCIe M.2 500GB,38,271,394803,https://ssd.userbenchmark.com/SpeedTest/493995/Samsung-SSD-970-EVO-500GB
SSD,ASX8200PNP-2TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 2TB,39,270,447,https://ssd.userbenchmark.com/SpeedTest/892867/NVMe-ADATA-SX8200PNP
SSD,MZ-V6P512BW,Samsung,960 Pro NVMe PCIe M.2 512GB,40,270,72164,https://ssd.userbenchmark.com/SpeedTest/182182/Samsung-SSD-960-PRO-512GB
SSD,SB-ROCKET-NVMe4-500,Sabrent,Rocket 4 NVMe PCIe M.2 500GB,41,268,11765,https://ssd.userbenchmark.com/SpeedTest/905105/Sabrent-Rocket-40-500GB
SSD,CT500P5SSD8,Crucial,P5 3D NVMe PCIe M.2 500GB,42,268,13804,https://ssd.userbenchmark.com/SpeedTest/1213080/CT500P5SSD8
SSD,WDS200T3X0C,WD,Black SN750 NVMe PCIe M.2 2TB (2019),43,266,4026,https://ssd.userbenchmark.com/SpeedTest/764887/WDS200T3X0C-00SJG0
SSD,SSDPEK1W060GA01,Intel,800p NVMe PCIe M.2 58GB,44,263,52,https://ssd.userbenchmark.com/SpeedTest/483445/NVMe-INTEL-SSDPEK1W06
SSD,WDS100T2X0C,WD,Black NVMe PCIe M.2 1TB (2018),45,259,6938,https://ssd.userbenchmark.com/SpeedTest/486281/WDS100T2X0C-00L350
SSD,ZP2000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 2TB,46,255,1859,https://ssd.userbenchmark.com/SpeedTest/827002/Seagate-FireCuda-510-SSD-ZP2000GM30001
SSD,5MS22AA#ABC,HP,EX950 NVMe PCIe M.2 512GB,47,253,2201,https://ssd.userbenchmark.com/SpeedTest/705098/HP-SSD-EX950-512GB
SSD,ASX8200NP-960GT-C,Adata,XPG SX8200 NVMe PCIe M.2 960GB,48,249,3141,https://ssd.userbenchmark.com/SpeedTest/504709/ADATA-SX8200NP
SSD,MZ-V7S250BW,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,49,247,77197,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZ-V7S250B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,49,247,77197,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,WDS500G3X0C,WD,Black SN750 NVMe PCIe M.2 500GB (2019),50,247,106979,https://ssd.userbenchmark.com/SpeedTest/701228/WDS500G3X0C-00SJG0
SSD,SDSSDXPM2-500G-G25,SanDisk,Extreme Pro NVMe PCIe M.2 500GB (2018),51,245,4644,https://ssd.userbenchmark.com/SpeedTest/513270/SanDisk-Extreme-Pro-500GB
SSD,ASX8200PNP-512GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 512GB,52,244,87802,https://ssd.userbenchmark.com/SpeedTest/634807/ADATA-SX8200PNP
SSD,SB-ROCKET-4TB,Sabrent,Rocket NVMe PCIe M.2 4TB,53,244,425,https://ssd.userbenchmark.com/SpeedTest/953820/Sabrent
SSD,CT2000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 2TB,54,244,4722,https://ssd.userbenchmark.com/SpeedTest/1332635/CT2000P2SSD8
SSD,MZ-V6E1T0BW,Samsung,960 Evo NVMe PCIe M.2 1TB,55,244,43031,https://ssd.userbenchmark.com/SpeedTest/211052/Samsung-SSD-960-EVO-1TB
SSD,MZVKW512HMJP-00000,Samsung,SM961 NVMe PCIe M.2 512GB,56,240,20897,https://ssd.userbenchmark.com/SpeedTest/147864/NVMe-SAMSUNG-MZVKW512
SSD,MZ-V8V500B,Samsung,980 NVMe PCIe M.2 500GB,57,240,30892,https://ssd.userbenchmark.com/SpeedTest/1488477/Samsung-SSD-980-500GB
SSD,CSSD-F1920GBMP510,Corsair,Force NVMe PCIe M.2 2TB,58,236,3807,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
SSD,SB-ROCKET-2TB,Sabrent,Rocket NVMe PCIe M.2 2TB,59,236,10368,https://ssd.userbenchmark.com/SpeedTest/847986/NVMe-Sabrent
SSD,MZVLB1T0HALR,Samsung,PM981 NVMe PCIe M.2 1TB,60,235,31540,https://ssd.userbenchmark.com/SpeedTest/413203/PM981-NVMe-Samsung-1024GB
